movie,director,m_year,critic,crit_org,crit_cn
Love & Friendship,Whit Stillman,2016,Colin Covert,Minneapolis Star-Tribune,US
Distant,Nuri Bilge Ceylan,2002,Colin Covert,Minneapolis Star-Tribune,US
3-Iron,Kim Ki-duk,2004,Oggs Cruz,Rappler.com,Philippines
Yi Yi: A One and a Two,Edward Yang,2000,Oggs Cruz,Rappler.com,Philippines
Mulholland Drive,David Lynch,2001,Oggs Cruz,Rappler.com,Philippines
Syndromes and a Century,Apichatpong Weerasethakul,2006,Oggs Cruz,Rappler.com,Philippines
Evolution of a Filipino Family,Lav Diaz,2004,Oggs Cruz,Rappler.com,Philippines
Pulse,Kiyoshi Kurosawa,2001,Oggs Cruz,Rappler.com,Philippines
Cave of Forgotten Dreams,Werner Herzog,2010,Oggs Cruz,Rappler.com,Philippines
Heaven's Story,Takahisa Zeze,2010,Oggs Cruz,Rappler.com,Philippines
"Norte, the End of History",Lav Diaz,2013,Oggs Cruz,Rappler.com,Philippines
Spirited Away,Hayao Miyazaki,2001,Oggs Cruz,Rappler.com,Philippines
"Crouching Tiger, Hidden Dragon",Ang Lee,2000,Ken Dancyger,New York University,US
There Will Be Blood,Paul Thomas Anderson,2007,Ken Dancyger,New York University,US
The Pianist,Roman Polanski,2002,Ken Dancyger,New York University,US
Lincoln,Steven Spielberg,2012,Ken Dancyger,New York University,US
Life of Pi,Ang Lee,2012,Ken Dancyger,New York University,US
Mystic River,Clint Eastwood,2003,Ken Dancyger,New York University,US
Son of Saul,László Nemes,2015,Ken Dancyger,New York University,US
American Hustle,David O. Russell,2013,Ken Dancyger,New York University,US
The White Ribbon,Michael Haneke,2009,Ken Dancyger,New York University,US
After the Wedding,Susanne Bier,2006,Ken Dancyger,New York University,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Erik Davis,Fandango,US
Boyhood,Richard Linklater,2014,Erik Davis,Fandango,US
Memento,Christopher Nolan,2000,Erik Davis,Fandango,US
There Will Be Blood,Paul Thomas Anderson,2007,Erik Davis,Fandango,US
The Dark Knight,Christopher Nolan,2008,Erik Davis,Fandango,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Erik Davis,Fandango,US
Finding Nemo,Andrew Stanton,2003,Erik Davis,Fandango,US
Mad Max: Fury Road,George Miller,2015,Erik Davis,Fandango,US
Inglourious Basterds,Quentin Tarantino,2009,Erik Davis,Fandango,US
Gravity,Alfonso Cuarón,2013,Erik Davis,Fandango,US
The Tree of Life,Terrence Malick,2011,Peter Debruge,Variety,US
Yi Yi: A One and a Two,Edward Yang,2000,Peter Debruge,Variety,US
Secret Sunshine,Lee Chang-dong,2007,Peter Debruge,Variety,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Peter Debruge,Variety,US
Amour,Michael Haneke,2012,Peter Debruge,Variety,US
I Am Love,Luca Guadagnino,2009,Peter Debruge,Variety,US
Son of Saul,László Nemes,2015,Peter Debruge,Variety,US
WALL-E,Andrew Stanton,2008,Peter Debruge,Variety,US
The Five Obstructions,Jørgen Leth and Lars von Trier,2003,Peter Debruge,Variety,US
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,Peter Debruge,Variety,US
In the Mood for Love,Wong Kar-wai,2000,Fernand Denis,La Libre Belgique,Belgium
Ida,Paweł Pawlikowski,2013,Fernand Denis,La Libre Belgique,Belgium
Boyhood,Richard Linklater,2014,Fernand Denis,La Libre Belgique,Belgium
Son of Saul,László Nemes,2015,Fernand Denis,La Libre Belgique,Belgium
Nobody Knows,Hirokazu Koreeda,2004,Fernand Denis,La Libre Belgique,Belgium
Talk to Her,Pedro Almodóvar,2002,Fernand Denis,La Libre Belgique,Belgium
Amores Perros,Alejandro González Iñárritu,2000,Fernand Denis,La Libre Belgique,Belgium
Wild Tales,Damián Szifrón,2014,Fernand Denis,La Libre Belgique,Belgium
Eldorado,Bouli Lanners,2008,Fernand Denis,La Libre Belgique,Belgium
Mommy,Xavier Dolan,2014,Fernand Denis,La Libre Belgique,Belgium
The Stuart Hall Project,John Akomfrah,2013,Lindiwe Dovey,University of London,UK
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Lindiwe Dovey,University of London,UK
A Letter to Nelson Mandela,Khalo Matabane,2013,Lindiwe Dovey,University of London,UK
Waiting for Happiness,Abderrahmane Sissako,2002,Lindiwe Dovey,University of London,UK
Something Necessary,Judy Kibinge,2013,Lindiwe Dovey,University of London,UK
Moolaadé,Ousmane Sembène,2004,Lindiwe Dovey,University of London,UK
Sembène!,Samba Gadjigo and Jason Silverman,2015,Lindiwe Dovey,University of London,UK
5 Broken Cameras,Emad Burnat and Guy Davidi,2011,Lindiwe Dovey,University of London,UK
Hooligan Sparrow,Nanfu Wang,2016,Lindiwe Dovey,University of London,UK
7 Letters,"Boo Junfeng, Eric Khoo, Jack Neo, K. Rajagopal, Tan Pin Pin, Royston Tan and Kelvin Tong",2015,Lindiwe Dovey,University of London,UK
"Synecdoche, New York",Charlie Kaufman,2008,Alonso Duralde,TheWrap,US
Brokeback Mountain,Ang Lee,2005,Alonso Duralde,TheWrap,US
Weekend,Andrew Haigh,2011,Alonso Duralde,TheWrap,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Alonso Duralde,TheWrap,US
Spirited Away,Hayao Miyazaki,2001,Alonso Duralde,TheWrap,US
How to Survive a Plague,David France,2012,Alonso Duralde,TheWrap,US
Talk to Her,Pedro Almodóvar,2002,Alonso Duralde,TheWrap,US
American Splendor,Robert Pulcini and Shari Springer Berman,2003,Alonso Duralde,TheWrap,US
In the Mood for Love,Wong Kar-wai,2000,Alonso Duralde,TheWrap,US
Far From Heaven,Todd Haynes,2002,Alonso Duralde,TheWrap,US
The Tree of Life,Terrence Malick,2011,Bilge Ebiri,The Village Voice,US
Mad Max: Fury Road,George Miller,2015,Bilge Ebiri,The Village Voice,US
25th Hour,Spike Lee,2002,Bilge Ebiri,The Village Voice,US
An Injury to One,Travis Wilkerson,2002,Bilge Ebiri,The Village Voice,US
Love & Basketball,Gina Prince-Bythewood,2000,Bilge Ebiri,The Village Voice,US
In the Mood for Love,Wong Kar-wai,2000,Bilge Ebiri,The Village Voice,US
Timbuktu,Abderrahmane Sissako,2014,Bilge Ebiri,The Village Voice,US
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Bilge Ebiri,The Village Voice,US
It's Such a Beautiful Day,Don Hertzfeldt,2012,Bilge Ebiri,The Village Voice,US
Actress,Robert Greene,2014,Bilge Ebiri,The Village Voice,US
Lost in Translation,Sofia Coppola,2003,David Ehrlich,IndieWire,US
Carol,Todd Haynes,2015,David Ehrlich,IndieWire,US
Yi Yi: A One and a Two,Edward Yang,2000,David Ehrlich,IndieWire,US
Dancer in the Dark,Lars von Trier,2000,David Ehrlich,IndieWire,US
Certified Copy,Abbas Kiarostami,2010,David Ehrlich,IndieWire,US
The Wind Rises,Hayao Miyazaki,2013,David Ehrlich,IndieWire,US
World of Tomorrow,Don Hertzfeldt,2015,David Ehrlich,IndieWire,US
Mulholland Drive,David Lynch,2001,David Ehrlich,IndieWire,US
35 Shots of Rum,Claire Denis,2008,David Ehrlich,IndieWire,US
Girl Walk: All Day,Jacob Krupnick,2011,David Ehrlich,IndieWire,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Kate Erbland,IndieWire,US
Almost Famous,Cameron Crowe,2000,Kate Erbland,IndieWire,US
Collateral,Michael Mann,2004,Kate Erbland,IndieWire,US
Brooklyn,John Crowley,2015,Kate Erbland,IndieWire,US
Nightcrawler,Dan Gilroy,2014,Kate Erbland,IndieWire,US
Take Shelter,Jeff Nichols,2011,Kate Erbland,IndieWire,US
Fantastic Mr Fox,Wes Anderson,2009,Kate Erbland,IndieWire,US
Senna,Asif Kapadia,2010,Kate Erbland,IndieWire,US
Frances Ha,Noah Baumbach,2012,Kate Erbland,IndieWire,US
Dogtooth,Yorgos Lanthimos,2009,Kate Erbland,IndieWire,US
A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,2014,Mario Espinosa,Cinemateca de Cuba,Cuba
The Act of Killing,Joshua Oppenheimer,2012,Mario Espinosa,Cinemateca de Cuba,Cuba
Dogtooth,Yorgos Lanthimos,2009,Mario Espinosa,Cinemateca de Cuba,Cuba
Katyn,Andrzej Wajda,2007,Mario Espinosa,Cinemateca de Cuba,Cuba
3-Iron,Kim Ki-duk,2004,Mario Espinosa,Cinemateca de Cuba,Cuba
Caché,Michael Haneke,2005,Mario Espinosa,Cinemateca de Cuba,Cuba
Mulholland Drive,David Lynch,2001,Mario Espinosa,Cinemateca de Cuba,Cuba
The Congress,Ari Folman,2013,Mario Espinosa,Cinemateca de Cuba,Cuba
Sympathy for Mr Vengeance,Park Chan-wook,2002,Mario Espinosa,Cinemateca de Cuba,Cuba
"Synecdoche, New York",Charlie Kaufman,2008,Mario Espinosa,Cinemateca de Cuba,Cuba
Yi Yi: A One and a Two,Edward Yang,2000,Joseph Fahim,Freelance film critic,Egypt
There Will Be Blood,Paul Thomas Anderson,2007,Joseph Fahim,Freelance film critic,Egypt
Boyhood,Richard Linklater,2014,Joseph Fahim,Freelance film critic,Egypt
Still Life,Jia Zhangke,2006,Joseph Fahim,Freelance film critic,Egypt
Archipelago,Joanna Hogg,2010,Joseph Fahim,Freelance film critic,Egypt
The Headless Woman,Lucrecia Martel,2008,Joseph Fahim,Freelance film critic,Egypt
The Act of Killing,Joshua Oppenheimer,2012,Joseph Fahim,Freelance film critic,Egypt
Caché,Michael Haneke,2005,Joseph Fahim,Freelance film critic,Egypt
Divine Intervention,Elia Suleiman,2002,Joseph Fahim,Freelance film critic,Egypt
Crimson Gold,Jafar Panahi,2003,Joseph Fahim,Freelance film critic,Egypt
Zodiac,David Fincher,2007,Devin Faraci,Birth.Movies.Death.,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Devin Faraci,Birth.Movies.Death.,US
There Will Be Blood,Paul Thomas Anderson,2007,Devin Faraci,Birth.Movies.Death.,US
Spider-Man 2,Sam Raimi,2004,Devin Faraci,Birth.Movies.Death.,US
Oldboy,Park Chan-wook,2003,Devin Faraci,Birth.Movies.Death.,US
Inglourious Basterds,Quentin Tarantino,2009,Devin Faraci,Birth.Movies.Death.,US
Frozen,Chris Buck and Jennifer Lee,2013,Devin Faraci,Birth.Movies.Death.,US
25th Hour,Spike Lee,2002,Devin Faraci,Birth.Movies.Death.,US
Requiem for a Dream,Darren Aronofsky,2000,Devin Faraci,Birth.Movies.Death.,US
Shaun of the Dead,Edgar Wright,2004,Devin Faraci,Birth.Movies.Death.,US
There Will Be Blood,Paul Thomas Anderson,2007,David Fear,Rolling Stone,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,David Fear,Rolling Stone,US
Yi Yi: A One and a Two,Edward Yang,2000,David Fear,Rolling Stone,US
Shame,Steve McQueen,2011,David Fear,Rolling Stone,US
Boyhood,Richard Linklater,2014,David Fear,Rolling Stone,US
The Social Network,David Fincher,2010,David Fear,Rolling Stone,US
Manchester by the Sea,Kenneth Lonergan,2016,David Fear,Rolling Stone,US
Mulholland Drive,David Lynch,2001,David Fear,Rolling Stone,US
Head-On,Fatih Akin,2004,David Fear,Rolling Stone,US
In the Mood for Love,Wong Kar-wai,2000,David Fear,Rolling Stone,US
Sideways,Alexander Payne,2004,Scott Feinberg,The Hollywood Reporter,US
The Social Network,David Fincher,2010,Scott Feinberg,The Hollywood Reporter,US
"Synecdoche, New York",Charlie Kaufman,2008,Scott Feinberg,The Hollywood Reporter,US
The Diving Bell and the Butterfly,Julian Schnabel,2007,Scott Feinberg,The Hollywood Reporter,US
Dogville,Lars von Trier,2003,Scott Feinberg,The Hollywood Reporter,US
Short Term 12,Destin Daniel Cretton,2013,Scott Feinberg,The Hollywood Reporter,US
WALL-E,Andrew Stanton,2008,Scott Feinberg,The Hollywood Reporter,US
Blue Valentine,Derek Cianfrance,2010,Scott Feinberg,The Hollywood Reporter,US
The Squid and the Whale,Noah Baumbach,2005,Scott Feinberg,The Hollywood Reporter,US
A Serious Man,Joel and Ethan Coen,2009,Scott Feinberg,The Hollywood Reporter,US
Jersey Boys,Clint Eastwood,2014,Javier Porta Fouz,La Nacion,Argentina
Moulin Rouge!,Baz Luhrmann,2001,Javier Porta Fouz,La Nacion,Argentina
Nine Queens,Fabián Bielinsky,2000,Javier Porta Fouz,La Nacion,Argentina
Mia Madre,Nanni Moretti,2015,Javier Porta Fouz,La Nacion,Argentina
"Right Now, Wrong Then",Hong Sang-soo,2015,Javier Porta Fouz,La Nacion,Argentina
Toy Story 3,Lee Unkrich,2010,Javier Porta Fouz,La Nacion,Argentina
Mad Max: Fury Road,George Miller,2015,Javier Porta Fouz,La Nacion,Argentina
Spirited Away,Hayao Miyazaki,2001,Javier Porta Fouz,La Nacion,Argentina
Adventureland,Greg Mottola,2009,Javier Porta Fouz,La Nacion,Argentina
Open Range,Kevin Costner,2003,Javier Porta Fouz,La Nacion,Argentina
The World,Jia Zhangke,2004,Kenji Fujishima,Freelance film critic,US
Profit Motive and the Whispering Wind,John Gianvito,2007,Kenji Fujishima,Freelance film critic,US
Inglourious Basterds,Quentin Tarantino,2009,Kenji Fujishima,Freelance film critic,US
Pulse,Kiyoshi Kurosawa,2001,Kenji Fujishima,Freelance film critic,US
Syndromes and a Century,Apichatpong Weerasethakul,2006,Kenji Fujishima,Freelance film critic,US
In Jackson Heights,Frederick Wiseman,2015,Kenji Fujishima,Freelance film critic,US
"Synecdoche, New York",Charlie Kaufman,2008,Kenji Fujishima,Freelance film critic,US
Love Exposure,Sion Sono,2008,Kenji Fujishima,Freelance film critic,US
The Tree of Life,Terrence Malick,2011,Kenji Fujishima,Freelance film critic,US
Casino Royale,Martin Campbell,2006,Kenji Fujishima,Freelance film critic,US
Oldboy,Park Chan-wook,2003,Ernesto Garratt,El Mercurio,Chile
Children of Men,Alfonso Cuarón,2006,Ernesto Garratt,El Mercurio,Chile
Mulholland Drive,David Lynch,2001,Ernesto Garratt,El Mercurio,Chile
The Secret in Their Eyes,Juan José Campanella,2009,Ernesto Garratt,El Mercurio,Chile
Sicario,Denis Villeneuve,2015,Ernesto Garratt,El Mercurio,Chile
No,Pablo Larraín,2012,Ernesto Garratt,El Mercurio,Chile
Donnie Darko,Richard Kelly,2001,Ernesto Garratt,El Mercurio,Chile
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Ernesto Garratt,El Mercurio,Chile
The Social Network,David Fincher,2010,Ernesto Garratt,El Mercurio,Chile
Whiplash,Damien Chazelle,2014,Ernesto Garratt,El Mercurio,Chile
Ex Machina,Alex Garland,2015,Steven Gaydos,Variety,US
Inside Out,Pete Docter,2015,Steven Gaydos,Variety,US
Animal Kingdom,David Michôd,2010,Steven Gaydos,Variety,US
Apocalypto,Mel Gibson,2006,Steven Gaydos,Variety,US
Three Monkeys,Nuri Bilge Ceylan,2008,Steven Gaydos,Variety,US
WALL-E,Andrew Stanton,2008,Steven Gaydos,Variety,US
Listen to Me Marlon,Stevan Riley,2015,Steven Gaydos,Variety,US
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Steven Gaydos,Variety,US
Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,2006,Steven Gaydos,Variety,US
Centochiodi,Ermanno Olmi,2007,Steven Gaydos,Variety,US
United 93,Paul Greengrass,2006,Noah Gittell,Washington City Paper,US
Zodiac,David Fincher,2007,Noah Gittell,Washington City Paper,US
Bridesmaids,Paul Feig,2011,Noah Gittell,Washington City Paper,US
WALL-E,Andrew Stanton,2008,Noah Gittell,Washington City Paper,US
Brooklyn,John Crowley,2015,Noah Gittell,Washington City Paper,US
The Look of Silence,Joshua Oppenheimer,2014,Noah Gittell,Washington City Paper,US
Punch-Drunk Love,Paul Thomas Anderson,2002,Noah Gittell,Washington City Paper,US
12 Years a Slave,Steve McQueen,2013,Noah Gittell,Washington City Paper,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Noah Gittell,Washington City Paper,US
We Need to Talk About Kevin,Lynne Ramsay,2011,Noah Gittell,Washington City Paper,US
Far From Heaven,Todd Haynes,2002,Owen Gleiberman,Variety,US
Chuck & Buck,Miguel Arteta,2000,Owen Gleiberman,Variety,US
Gladiator,Ridley Scott,2000,Owen Gleiberman,Variety,US
The Century of the Self,Adam Curtis,2002,Owen Gleiberman,Variety,US
Moulin Rouge!,Baz Luhrmann,2001,Owen Gleiberman,Variety,US
Munich,Steven Spielberg,2005,Owen Gleiberman,Variety,US
Casino Royale,Martin Campbell,2006,Owen Gleiberman,Variety,US
Lilya 4-Ever,Lukas Moodysson,2002,Owen Gleiberman,Variety,US
Sideways,Alexander Payne,2004,Owen Gleiberman,Variety,US
Inglourious Basterds,Quentin Tarantino,2009,Owen Gleiberman,Variety,US
Mulholland Drive,David Lynch,2001,Ed Gonzalez,Slant Magazine,US
In the Mood for Love,Wong Kar-wai,2000,Ed Gonzalez,Slant Magazine,US
The New World,Terrence Malick,2005,Ed Gonzalez,Slant Magazine,US
Certified Copy,Abbas Kiarostami,2010,Ed Gonzalez,Slant Magazine,US
Femme Fatale,Brian De Palma,2002,Ed Gonzalez,Slant Magazine,US
Margaret,Kenneth Lonergan,2011,Ed Gonzalez,Slant Magazine,US
Under the Skin,Jonathan Glazer,2013,Ed Gonzalez,Slant Magazine,US
This Is Not a Film,Mojtaba Mirtahmasb and Jafar Panahi,2011,Ed Gonzalez,Slant Magazine,US
Two Lovers,James Gray,2008,Ed Gonzalez,Slant Magazine,US
Heart of a Dog,Laurie Anderson,2015,Ed Gonzalez,Slant Magazine,US
In the Mood for Love,Wong Kar-wai,2000,Juan Carlos González,El Tiempo,Colombia
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Juan Carlos González,El Tiempo,Colombia
A Separation,Asghar Farhadi,2011,Juan Carlos González,El Tiempo,Colombia
Son of Saul,László Nemes,2015,Juan Carlos González,El Tiempo,Colombia
Elephant,Gus Van Sant,2003,Juan Carlos González,El Tiempo,Colombia
A Prophet,Jacques Audiard,2009,Juan Carlos González,El Tiempo,Colombia
There Will Be Blood,Paul Thomas Anderson,2007,Juan Carlos González,El Tiempo,Colombia
The Lives of Others,Florian Henckel von Donnersmarck,2006,Juan Carlos González,El Tiempo,Colombia
Frances Ha,Noah Baumbach,2012,Juan Carlos González,El Tiempo,Colombia
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Juan Carlos González,El Tiempo,Colombia
Werckmeister Harmonies,Béla Tarr and Ágnes Hranitzky,2000,Carmen Gray,Berlin Critics’ Week,Germany
The Act of Killing,Joshua Oppenheimer,2012,Carmen Gray,Berlin Critics’ Week,Germany
White Material,Claire Denis,2009,Carmen Gray,Berlin Critics’ Week,Germany
Even If She Had Been a Criminal...,Jean-Gabriel Périot,2006,Carmen Gray,Berlin Critics’ Week,Germany
Spring Breakers,Harmony Korine,2012,Carmen Gray,Berlin Critics’ Week,Germany
In the Mood for Love,Wong Kar-wai,2000,Carmen Gray,Berlin Critics’ Week,Germany
Stranger by the Lake,Alain Guiraudie,2013,Carmen Gray,Berlin Critics’ Week,Germany
Colossal Youth,Pedro Costa,2006,Carmen Gray,Berlin Critics’ Week,Germany
Story of My Death,Albert Serra,2013,Carmen Gray,Berlin Critics’ Week,Germany
Aurora,Cristi Puiu,2010,Carmen Gray,Berlin Critics’ Week,Germany
Dogville,Lars von Trier,2003,Tim Grierson,Screen International,US
Zodiac,David Fincher,2007,Tim Grierson,Screen International,US
There Will Be Blood,Paul Thomas Anderson,2007,Tim Grierson,Screen International,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Tim Grierson,Screen International,US
Yi Yi: A One and a Two,Edward Yang,2000,Tim Grierson,Screen International,US
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,Tim Grierson,Screen International,US
The Master,Paul Thomas Anderson,2012,Tim Grierson,Screen International,US
It's Such a Beautiful Day,Don Hertzfeldt,2012,Tim Grierson,Screen International,US
Boyhood,Richard Linklater,2014,Tim Grierson,Screen International,US
Shutter Island,Martin Scorsese,2010,Tim Grierson,Screen International,US
Saraband,Ingmar Bergman,2003,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Memento,Christopher Nolan,2000,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
The Return,Andrey Zvyagintsev,2003,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Amour,Michael Haneke,2012,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Mulholland Drive,David Lynch,2001,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Import Export,Ulrich Seidl,2007,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Son of Saul,László Nemes,2015,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Kill Bill: Vol. 1,Quentin Tarantino,2003,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
The Revenant,Alejandro González Iñárritu,2015,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France
Tropical Malady,Apichatpong Weerasethakul,2004,Antoine Guillot,France Culture,France
Mulholland Drive,David Lynch,2001,Antoine Guillot,France Culture,France
The Turin Horse,Béla Tarr and Ágnes Hranitzky,2011,Antoine Guillot,France Culture,France
Tie Xi Qu: West of the Tracks,Wang Bing,2002,Antoine Guillot,France Culture,France
Le filmeur,Alain Cavalier,2005,Antoine Guillot,France Culture,France
Holy Motors,Leos Carax,2012,Antoine Guillot,France Culture,France
Elephant,Gus Van Sant,2003,Antoine Guillot,France Culture,France
A Touch of Sin,Jia Zhangke,2013,Antoine Guillot,France Culture,France
Pan's Labyrinth,Guillermo Del Toro,2006,Antoine Guillot,France Culture,France
Spirited Away,Hayao Miyazaki,2001,Antoine Guillot,France Culture,France
The New World,Terrence Malick,2005,Tom Gunning,University of Chicago,US
Capitalism: Child Labor,Ken Jacobs,2007,Tom Gunning,University of Chicago,US
Psalm III: 'Night of the Meek',Phil Solomon,2002,Tom Gunning,University of Chicago,US
Goodbye to Language,Jean-Luc Godard,2014,Tom Gunning,University of Chicago,US
Daylight Moon,Lewis Klahr,2002,Tom Gunning,University of Chicago,US
Oldboy,Park Chan-wook,2003,Tom Gunning,University of Chicago,US
A Commuter’s Life (What a Life!),Ernie Gehr,2014,Tom Gunning,University of Chicago,US
The Fourth Watch,Janie Geiser,2000,Tom Gunning,University of Chicago,US
Our Daily Bread,Nikolaus Geyrhalter,2005,Tom Gunning,University of Chicago,US
The World,Jia Zhangke,2004,Tom Gunning,University of Chicago,US
Ankhon Dekhi,Rajat Kapoor,2013,Shubhra Gupta,The Indian Express,India
Court,Chaitanya Tamhane,2014,Shubhra Gupta,The Indian Express,India
"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,2010,Shubhra Gupta,The Indian Express,India
Monsoon Wedding,Mira Nair,2001,Shubhra Gupta,The Indian Express,India
Dev D,Anurag Kashyap,2009,Shubhra Gupta,The Indian Express,India
Paan Singh Tomar,Tigmanshu Dhulia,2012,Shubhra Gupta,The Indian Express,India
Udaan,Vikramaditya Motwane,2010,Shubhra Gupta,The Indian Express,India
Hazaaron Khwaishein Aisi,Sudhir Mishra,2003,Shubhra Gupta,The Indian Express,India
Maqbool,Vishal Bhardwaj,2003,Shubhra Gupta,The Indian Express,India
Lagaan: Once Upon a Time in India,Ashutosh Gowariker,2001,Shubhra Gupta,The Indian Express,India
There Will Be Blood,Paul Thomas Anderson,2007,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Mulholland Drive,David Lynch,2001,Hauvick Habechian,An-Nahar Newspaper,Lebanon
AI: Artificial Intelligence,Steven Spielberg,2001,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Spirited Away,Hayao Miyazaki,2001,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Hauvick Habechian,An-Nahar Newspaper,Lebanon
In the Mood for Love,Wong Kar-wai,2000,Hauvick Habechian,An-Nahar Newspaper,Lebanon
The Lady and the Duke,Éric Rohmer,2001,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Yi Yi: A One and a Two,Edward Yang,2000,Hauvick Habechian,An-Nahar Newspaper,Lebanon
Silent Souls,Aleksey Fedorchenko,2010,Hauvick Habechian,An-Nahar Newspaper,Lebanon
"Synecdoche, New York",Charlie Kaufman,2008,Angie Han,Slashfilm,US
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Angie Han,Slashfilm,US
Boyhood,Richard Linklater,2014,Angie Han,Slashfilm,US
Mad Max: Fury Road,George Miller,2015,Angie Han,Slashfilm,US
Me and You and Everyone We Know,Miranda July,2005,Angie Han,Slashfilm,US
Gone Girl,David Fincher,2014,Angie Han,Slashfilm,US
Inside Llewyn Davis,Joel and Ethan Coen,2013,Angie Han,Slashfilm,US
Only Lovers Left Alive,Jim Jarmusch,2013,Angie Han,Slashfilm,US
Selma,Ava DuVernay,2014,Angie Han,Slashfilm,US
Pain & Gain,Michael Bay,2013,Angie Han,Slashfilm,US
Inside Out,Pete Docter,2015,Aisha Harris,Slate,US
When the Levees Broke: A Requiem in Four Acts,Spike Lee,2006,Aisha Harris,Slate,US
Stories We Tell,Sarah Polley,2012,Aisha Harris,Slate,US
Her,Spike Jonze,2013,Aisha Harris,Slate,US
Children of Men,Alfonso Cuarón,2006,Aisha Harris,Slate,US
Before Midnight,Richard Linklater,2013,Aisha Harris,Slate,US
The Look of Silence,Joshua Oppenheimer,2014,Aisha Harris,Slate,US
Fruitvale Station,Ryan Coogler,2013,Aisha Harris,Slate,US
Love & Basketball,Gina Prince-Bythewood,2000,Aisha Harris,Slate,US
Brick,Rian Johnson,2005,Aisha Harris,Slate,US
Stray Dogs,Tsai Ming-liang,2013,Tina Hassannia,Freelance film critic,Canada
A Separation,Asghar Farhadi,2011,Tina Hassannia,Freelance film critic,Canada
Margaret,Kenneth Lonergan,2011,Tina Hassannia,Freelance film critic,Canada
Ten,Abbas Kiarostami,2002,Tina Hassannia,Freelance film critic,Canada
35 Shots of Rum,Claire Denis,2008,Tina Hassannia,Freelance film critic,Canada
Closed Curtain,Jafar Panahi,2013,Tina Hassannia,Freelance film critic,Canada
Tangerine,Sean Baker,2015,Tina Hassannia,Freelance film critic,Canada
The Royal Tenenbaums,Wes Anderson,2001,Tina Hassannia,Freelance film critic,Canada
Spring Breakers,Harmony Korine,2012,Tina Hassannia,Freelance film critic,Canada
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Tina Hassannia,Freelance film critic,Canada
Notre musique,Jean-Luc Godard,2004,Shiguehiko Hasumi,University of Tokyo,Japan
Triple Agent,Éric Rohmer,2004,Shiguehiko Hasumi,University of Tokyo,Japan
The Assassin,Hou Hsiao-hsien,2015,Shiguehiko Hasumi,University of Tokyo,Japan
Gran Torino,Clint Eastwood,2008,Shiguehiko Hasumi,University of Tokyo,Japan
Horse Money,Pedro Costa,2014,Shiguehiko Hasumi,University of Tokyo,Japan
Fantastic Mr Fox,Wes Anderson,2012,Shiguehiko Hasumi,University of Tokyo,Japan
Holy Motors,Leos Carax,2012,Shiguehiko Hasumi,University of Tokyo,Japan
Death Proof – Grindhouse,Quentin Tarantino,2007,Shiguehiko Hasumi,University of Tokyo,Japan
Déjà Vu,Tony Scott,2006,Shiguehiko Hasumi,University of Tokyo,Japan
Seventh Code,Kiyoshi Kurosawa,2013,Shiguehiko Hasumi,University of Tokyo,Japan
